model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,universe_n,universe_error_count,reviewed_n,uncertainty_review_error_rate_at_k,uncertainty_error_recall_at_k,oracle_review_error_rate_at_k,oracle_error_recall_at_k,max_possible_review_error_count_gain_over_uncertainty,max_possible_review_error_rate_gain_over_uncertainty,max_possible_error_recall_gain_over_uncertainty,uncertainty_fraction_of_oracle_error_count
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,0.1,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,0.2,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.05,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.1,0,0.0,0,,,,,,,,
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.2,0,0.0,0,,,,,,,,
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.05,142,26.0,7,0.285714285714,0.076923076923,1.0,0.2692307692307692,5.0,0.714285714286,0.19230769230776923,0.2857142857142857
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.1,142,26.0,14,0.285714285714,0.153846153846,1.0,0.5384615384615384,10.0,0.714285714286,0.38461538461553846,0.2857142857142857
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,142,26.0,28,0.357142857143,0.384615384615,0.9285714285714286,1.0,16.0,0.5714285714284286,0.615384615385,0.38461538461538464
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.05,126,22.0,6,0.333333333333,0.090909090909,1.0,0.2727272727272727,4.0,0.666666666667,0.1818181818182727,0.3333333333333333
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.1,126,22.0,13,0.461538461538,0.272727272727,1.0,0.5909090909090909,7.0,0.538461538462,0.31818181818209096,0.46153846153846156
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.2,126,22.0,25,0.4,0.454545454545,0.88,1.0,12.0,0.48,0.5454545454549999,0.45454545454545453
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.05,106,14.0,5,0.4,0.142857142857,1.0,0.35714285714285715,3.0,0.6,0.21428571428585716,0.4
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.1,106,14.0,11,0.363636363636,0.285714285714,1.0,0.7857142857142857,7.0,0.636363636364,0.5000000000002858,0.36363636363636365
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.2,106,14.0,21,0.333333333333,0.5,0.6666666666666666,1.0,7.0,0.3333333333336666,0.5,0.5
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.05,94,10.0,5,0.4,0.2,1.0,0.5,3.0,0.6,0.3,0.4
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.1,94,10.0,9,0.333333333333,0.3,1.0,0.9,6.0,0.666666666667,0.6000000000000001,0.3333333333333333
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.2,94,10.0,19,0.157894736842,0.3,0.5263157894736842,1.0,7.0,0.3684210526316842,0.7,0.3
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.05,142,26.0,7,0.285714285714,0.076923076923,1.0,0.2692307692307692,5.0,0.714285714286,0.19230769230776923,0.2857142857142857
