model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,u2_features_available,e2_features_available,usable_u2_features,usable_e2_features,e2_real_joint_support_available,e2_fallback_used,e2_top5_fallback_used,e2_top10_fallback_used,e2_joint_support_mode,drug_similarity_mode,target_similarity_mode,support_normalization_mode,support_normalization_warning,e2_drug_support_columns,e2_target_support_columns,missing_columns_or_warnings,fallback_used,residual_rows_with_any_u2_null,residual_rows_with_any_e2_null,residual_rows_with_any_feature_null,residual_rows_with_all_features_present,u2_calibrated_error_risk_null_n,u2_confidence_percentile_null_n,u2_risk_percentile_null_n,u2_defer_boundary_margin_null_n,u2_defer_boundary_proximity_null_n,e2_drug_marginal_support_null_n,e2_target_marginal_support_null_n,e2_joint_nn_sim_null_n,e2_joint_top5_available_mean_sim_null_n,e2_joint_top5_padded_mean_sim_null_n,e2_joint_top10_pair_occurrence_rate_null_n,e2_joint_top10_sim_sum_null_n,e2_joint_support_gap_null_n,e2_drug_target_support_imbalance_null_n
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,validation,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_4,drug,base,0.8,0.2,0.2,test,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,validation,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_4,drug,base,0.9,0.1,0.2,test,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,validation,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,test,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,validation,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,test,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,validation,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,test,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,validation,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,test,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,validation,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,test,True,True,u2_calibrated_error_risk|u2_confidence_percentile|u2_risk_percentile|u2_defer_boundary_margin|u2_defer_boundary_proximity,e2_drug_marginal_support|e2_target_marginal_support|e2_joint_nn_sim|e2_joint_top5_available_mean_sim|e2_joint_top5_padded_mean_sim|e2_joint_top10_pair_occurrence_rate|e2_joint_top10_sim_sum|e2_joint_support_gap|e2_drug_target_support_imbalance,True,False,False,False,real_source_pair_joint_support,rank_normalized_existing_columns,rank_normalized_existing_columns,per_split_rank_normalization,True,source_drug_cluster_count|source_drug_count|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|drug_nearest_train_distance|drug_train_knn_distance,source_target_cluster_count|source_target_count|target_direct_knn_distance|target_direct_nearest_train_distance|target_esm_knn_distance|target_esm_nearest_train_distance|target_mmseqs_family_sparsity|target_mmseqs_family_unseen|target_mmseqs_nearest_train_distance|target_nearest_train_distance|target_train_knn_distance,,none,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
