scope,comparison,comparison_name,status,metric,n_runs,matched_n_runs,selected_n_runs,unmatched_n_runs,win_rate,left_mean,right_mean,delta_mean,mean_delta,ci_low,ci_high,group_axis,dataset,model
model,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,review_recall_of_residual_errors,4,4,4,0,1.0,0.752663,0.702068,0.050595,0.050595,0.002679,0.093452,,,PACE
model,U+P+E+E2 - U+P+E,U+P+E+E2 - U+P+E,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.088369,0.080906,0.007463,0.007463,0.000429,0.012778,,,PACE
overall,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,1.0,0.599731,0.542699,0.057032,0.057032,0.013445,0.087412,,,
overall,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,1.0,0.905248,0.895195,0.010053,0.010053,0.004233,0.014573,,,
overall,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_lift,4,4,4,0,0.75,3.717541,3.566209,0.151332,0.151332,-0.0,0.448085,,,
overall,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,-0.0,0.090069,,,
overall,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.086941,0.082465,0.004476,0.004476,-0.0,0.01231,,,
grouping,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,1.0,0.599731,0.542699,0.057032,0.057032,0.013445,0.087412,drug,,
grouping,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,1.0,0.905248,0.895195,0.010053,0.010053,0.004233,0.014573,drug,,
grouping,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_lift,4,4,4,0,0.75,3.717541,3.566209,0.151332,0.151332,-0.0,0.448085,drug,,
grouping,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,-0.0,0.090069,drug,,
grouping,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.086941,0.082465,0.004476,0.004476,-0.0,0.01231,drug,,
dataset,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,1.0,0.599731,0.542699,0.057032,0.057032,0.013445,0.087412,,biosnap,
dataset,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,1.0,0.905248,0.895195,0.010053,0.010053,0.004233,0.014573,,biosnap,
dataset,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_lift,4,4,4,0,0.75,3.717541,3.566209,0.151332,0.151332,-0.0,0.448085,,biosnap,
dataset,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,-0.0,0.090069,,biosnap,
dataset,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.086941,0.082465,0.004476,0.004476,-0.0,0.01231,,biosnap,
model,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,1.0,0.599731,0.542699,0.057032,0.057032,0.013445,0.087412,,,PACE
model,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,1.0,0.905248,0.895195,0.010053,0.010053,0.004233,0.014573,,,PACE
model,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_lift,4,4,4,0,0.75,3.717541,3.566209,0.151332,0.151332,-0.0,0.448085,,,PACE
model,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,-0.0,0.090069,,,PACE
model,selector_A_selected - formal_selected,selector_A_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.75,0.086941,0.082465,0.004476,0.004476,-0.0,0.01231,,,PACE
overall,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,0.5,0.568452,0.542699,0.025754,0.025754,0.0,0.070704,,,
overall,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,0.5,0.900993,0.895195,0.005798,0.005798,0.0,0.015543,,,
overall,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_lift,4,4,4,0,0.5,3.717541,3.566209,0.151332,0.151332,0.0,0.448085,,,
overall,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,0.0,0.090069,,,
overall,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.5,0.086941,0.082465,0.004476,0.004476,0.0,0.01231,,,
grouping,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,0.5,0.568452,0.542699,0.025754,0.025754,0.0,0.070704,drug,,
grouping,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,0.5,0.900993,0.895195,0.005798,0.005798,0.0,0.015543,drug,,
grouping,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_lift,4,4,4,0,0.5,3.717541,3.566209,0.151332,0.151332,0.0,0.448085,drug,,
grouping,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,0.0,0.090069,drug,,
grouping,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.5,0.086941,0.082465,0.004476,0.004476,0.0,0.01231,drug,,
dataset,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,0.5,0.568452,0.542699,0.025754,0.025754,0.0,0.070704,,biosnap,
dataset,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,0.5,0.900993,0.895195,0.005798,0.005798,0.0,0.015543,,biosnap,
dataset,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_lift,4,4,4,0,0.5,3.717541,3.566209,0.151332,0.151332,0.0,0.448085,,biosnap,
dataset,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,0.0,0.090069,,biosnap,
dataset,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.5,0.086941,0.082465,0.004476,0.004476,0.0,0.01231,,biosnap,
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auprc,4,4,4,0,0.5,0.568452,0.542699,0.025754,0.025754,0.0,0.070704,,,PACE
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,error_detection_auroc,4,4,4,0,0.5,0.900993,0.895195,0.005798,0.005798,0.0,0.015543,,,PACE
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_lift,4,4,4,0,0.5,3.717541,3.566209,0.151332,0.151332,0.0,0.448085,,,PACE
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,review_recall_of_residual_errors,4,4,4,0,0.5,0.743734,0.713346,0.030388,0.030388,0.0,0.090069,,,PACE
model,selector_B_selected - formal_selected,selector_B_selected - formal_selected,ok,retained_accuracy_gain_vs_residual,4,4,4,0,0.5,0.086941,0.082465,0.004476,0.004476,0.0,0.01231,,,PACE
