model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,profile,primary_candidate,complexity,model_status,used_features,validation_fold_mean_auprc,validation_fold_se_auprc,validation_finite_folds,universe_n,universe_error_count,universe_error_rate,error_detection_auroc,error_detection_auprc,reviewed_n,review_error_count,review_error_rate,review_lift,review_recall_of_residual_errors,combined_recall_of_candidate_errors,retained_accuracy_after_review,retained_accuracy_gain_vs_residual,selected_profile,selection_fallback,selection_reason,best_profile,best_validation_fold_mean_auprc,one_se_threshold,validation_gain_vs_uncertainty
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.1,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,12,6.0,0.5,0.166666666667,0.386213323713,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,bindingdb,seed_8,drug,base,0.9,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,10,6.0,0.6,0.25,0.502182539683,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,bindingdb,seed_8,target,base,0.8,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.261690919375,0.16122665201,3,55,15.0,0.272727272727,0.196666666667,0.240267171418,11,1.0,0.090909090909,0.333333333333,0.066666666667,0.176470588235,0.681818181818,-0.045454545455,uncertainty,True,uncertainty_selected,uncertainty_support,0.387700910201,0.214767825974,0.0
DrugBAN,bindingdb,seed_8,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_logit|prior_support_probability,0.6933694325,0.1533643788,3,49,14.0,0.285714285714,0.691836734694,0.476290259192,10,5.0,0.5,1.75,0.357142857143,0.470588235294,0.769230769231,0.054945054945,prior,False,one_standard_error,uncertainty_prior,0.703951443082,0.548370586576,0.425428810478
DrugBAN,bindingdb,seed_8,target,base,0.9,0.1,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.488888888889,0.058001702827,3,12,6.0,0.5,0.166666666667,0.386213323713,0,,,,,,,,uncertainty,True,uncertainty_selected,uncertainty,0.488888888889,0.430887186062,0.0
DrugBAN,bindingdb,seed_8,target,base,0.9,0.2,0.2,uncertainty,True,0,group_cv_unavailable,,,,0,10,6.0,0.6,0.25,0.502182539683,0,,,,,,,,uncertainty,True,no_finite_group_cv_candidate,,,,
DrugBAN,biosnap,seed_4,drug,base,0.8,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.560351507467,0.030246812018,3,582,121.0,0.207903780069,0.840268191678,0.544812099121,116,60.0,0.51724137931,2.487888287261,0.495867768595,0.579310344828,0.869098712446,0.077002492515,uncertainty_support,False,one_standard_error,uncertainty_support,0.560351507467,0.530104695449,0.209490277916
DrugBAN,biosnap,seed_4,drug,base,0.8,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.559097235279,0.010000615484,3,518,96.0,0.185328185328,0.846835505529,0.551928175597,104,59.0,0.567307692308,3.06109775641,0.614583333333,0.744827586207,0.910628019324,0.095956204652,uncertainty_support,False,one_standard_error,uncertainty_support,0.559097235279,0.549096619795,0.207435615634
DrugBAN,biosnap,seed_4,drug,base,0.9,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.60876181836,0.081971128877,3,458,73.0,0.159388646288,0.866820850382,0.566364472273,92,51.0,0.554347826087,3.477963073258,0.698630136986,0.758241758242,0.939890710383,0.099279356671,uncertainty_support,False,one_standard_error,uncertainty_support,0.60876181836,0.526790689483,0.340905358508
DrugBAN,biosnap,seed_4,drug,base,0.9,0.2,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.581935085035,0.057360804591,3,407,57.0,0.140049140049,0.846365914787,0.4946362147,81,42.0,0.518518518519,3.702404158545,0.736842105263,0.835164835165,0.953987730061,0.09403687011,uncertainty_support,False,one_standard_error,uncertainty_support,0.581935085035,0.524574280444,0.35111963997
DrugBAN,biosnap,seed_4,target,base,0.8,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.462538651402,0.011425942794,3,582,120.0,0.20618556701,0.73676046176,0.394935475054,116,49.0,0.422413793103,2.048706896552,0.408333333333,0.510344827586,0.847639484979,0.053825051989,uncertainty_support,False,one_standard_error,uncertainty_prior_support,0.488737368382,0.423901046731,0.092711602035
DrugBAN,biosnap,seed_4,target,base,0.8,0.2,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.393398480724,0.030700146523,3,518,94.0,0.181467181467,0.718034925733,0.370266664044,104,34.0,0.326923076923,1.801554828151,0.36170212766,0.586206896552,0.855072463768,0.036539645235,prior,False,one_standard_error,uncertainty_support,0.423931157056,0.321776407545,0.110079167565
DrugBAN,biosnap,seed_4,target,base,0.9,0.1,0.2,prior,True,1,complete,prior_contradiction_logit|prior_contradiction_probability|prior_negative_evidence|prior_support_probability,0.400078452995,0.088312504557,3,458,76.0,0.165938864629,0.746417745936,0.370133851355,92,33.0,0.358695652174,2.161613272311,0.434210526316,0.527472527473,0.882513661202,0.048452525831,prior,False,one_standard_error,uncertainty_support,0.49813511251,0.383003294449,0.088910602192
DrugBAN,biosnap,seed_4,target,base,0.9,0.2,0.2,uncertainty,True,0,complete,calibrated_error_risk,0.345342292566,0.103344141094,3,407,62.0,0.152334152334,0.649135109864,0.25825997922,81,20.0,0.246913580247,1.620868180008,0.322580645161,0.538461538462,0.871165644172,0.023499796506,uncertainty,True,uncertainty_selected,prior,0.386994084032,0.344958410487,0.0
DrugBAN,biosnap,seed_5,drug,base,0.8,0.1,0.2,uncertainty_support,True,2,complete,calibrated_error_risk|drug_morgan_knn_distance|drug_morgan_nearest_train_distance|fit_entity_support_imbalance|fit_entity_support_min|fit_joint_novelty|fit_one_sided_novelty|log_drug_fit_count|log_target_fit_count|native_density_imbalance|native_domain_density_distance|native_domain_shift_score|native_support_imbalance|target_esm_knn_distance|target_esm_nearest_train_distance,0.548445563761,0.054053108305,3,717,127.0,0.177126917713,0.846937141332,0.493941808178,143,78.0,0.545454545455,3.079455977094,0.614173228346,0.701219512195,0.914634146341,0.091761064054,uncertainty_support,False,one_standard_error,uncertainty_support,0.548445563761,0.494392455456,0.224285120197
