model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,split,scope,score_source,calibration_n,error_count,error_rate,mean_predicted_error_risk,brier_error_risk,ece_error_risk
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,deferred,raw,26,14.0,0.538461538462,0.091846238347,0.447713156421,0.446615300114
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,residual,calibrated,237,96.0,0.405063291139,0.378878603339,0.230816319639,0.067101088291
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,test,residual,raw,237,96.0,0.405063291139,0.022327729856,0.383687076423,0.382735561283
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,candidate,calibrated,1313,527.0,0.401370906321,0.389527874724,0.235846318274,0.027914304531
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,candidate,raw,1313,527.0,0.401370906321,0.029719301954,0.37393755896,0.371651604367
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,deferred,calibrated,131,65.0,0.496183206107,0.463397885251,0.251646496042,0.032785320856
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,deferred,raw,131,65.0,0.496183206107,0.080113209051,0.423678149074,0.416069997056
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,residual,calibrated,1182,462.0,0.390862944162,0.381340927703,0.234095198742,0.02737445416
DrugBAN,bindingdb,seed_4,target,base,0.8,0.1,0.2,validation,residual,raw,1182,462.0,0.390862944162,0.024134190423,0.368424853965,0.366728753739
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,candidate,calibrated,263,110.0,0.41825095057,0.384911852699,0.233518104903,0.070210531013
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,candidate,raw,263,110.0,0.41825095057,0.029200282026,0.390016650871,0.389050668544
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,deferred,calibrated,53,28.0,0.528301886792,0.436565388023,0.257669244904,0.091736498769
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,deferred,raw,53,28.0,0.528301886792,0.081510143561,0.449046682234,0.446791743231
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,residual,calibrated,210,82.0,0.390476190476,0.37187548426,0.227422817188,0.06477778677
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,test,residual,raw,210,82.0,0.390476190476,0.015998269353,0.375118595337,0.374477921123
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,candidate,calibrated,1313,527.0,0.401370906321,0.389527874724,0.235846318274,0.027914304531
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,candidate,raw,1313,527.0,0.401370906321,0.029719301954,0.37393755896,0.371651604367
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,deferred,calibrated,263,140.0,0.532319391635,0.45701988334,0.255495087834,0.075299508295
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,deferred,raw,263,140.0,0.532319391635,0.070650570489,0.462032882066,0.461668821146
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,residual,calibrated,1050,387.0,0.368571428571,0.372622733518,0.230924769327,0.033449250085
DrugBAN,bindingdb,seed_4,target,base,0.8,0.2,0.2,validation,residual,raw,1050,387.0,0.368571428571,0.01946699374,0.35187177803,0.349104434831
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,candidate,calibrated,199,77.0,0.386934673367,0.368846963437,0.226245621978,0.066817292423
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,candidate,raw,199,77.0,0.386934673367,0.013865094851,0.373306328425,0.373069578516
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,deferred,calibrated,20,11.0,0.55,0.420967977876,0.263905484963,0.129032022124
DrugBAN,bindingdb,seed_4,target,base,0.9,0.1,0.2,test,deferred,raw,20,11.0,0.55,0.043428709459,0.503686686436,0.506571290541
